time	V(ina)	V(out_y)	V(sel)	V(selb)
3.404743059778004e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.408649309778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.412555559778004e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.416461809778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.420368059778004e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.424274309778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.428180559778004e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.432086809778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.435993059778004e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.439899309778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.443805559778004e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.447711809778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.451618059778004e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.455524309778004e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.459430559778004e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.463336809778004e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.467243059778004e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.471149309778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.475055559778003e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.478961809778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.482868059778003e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.486774309778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.490680559778003e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.494586809778003e-08	5.000000e+00	5.210964e+00	0.000000e+00	5.000000e+00
3.498493059778003e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
