time	V(vdd)*Ix(xinv_20_1@0:vdd)
3.017346248569565e-08	-1.090452e-05
3.021252498569565e-08	1.090147e-05
3.025158748569565e-08	-1.087370e-05
3.029064998569565e-08	1.087314e-05
3.032971248569565e-08	-1.084866e-05
3.036877498569565e-08	1.085034e-05
3.040783748569565e-08	-1.082890e-05
3.044689998569565e-08	1.083262e-05
3.048596248569565e-08	-1.081398e-05
3.052502498569565e-08	1.081951e-05
3.056408748569565e-08	-1.080345e-05
3.060314998569565e-08	1.081061e-05
3.064221248569565e-08	-1.079692e-05
3.068127498569565e-08	1.080551e-05
3.072033748569564e-08	-1.079400e-05
3.075939998569564e-08	1.080386e-05
3.079846248569564e-08	-1.079434e-05
3.083752498569564e-08	1.080531e-05
3.087658748569564e-08	-1.079761e-05
3.091564998569564e-08	1.080954e-05
3.095471248569564e-08	-1.080349e-05
3.099377498569564e-08	1.081624e-05
3.103283748569564e-08	-1.081169e-05
3.107189998569564e-08	1.082513e-05
3.111096248569564e-08	-1.082194e-05
3.115002498569564e-08	1.083595e-05
3.118908748569564e-08	-1.083399e-05
3.122814998569564e-08	1.084846e-05
3.126721248569564e-08	-1.084759e-05
3.130627498569564e-08	1.086241e-05
3.134533748569564e-08	-1.086253e-05
3.138439998569564e-08	1.087761e-05
3.140000000000000e-08	-1.089050e-05
3.140156000143044e-08	-5.937563e-04
3.140468000429131e-08	-7.815685e-04
3.141092001001306e-08	-7.001346e-04
3.142340002145655e-08	-8.576136e-04
3.144031091254407e-08	-6.401678e-04
3.146131722676930e-08	-5.029741e-04
3.148702244970185e-08	-3.188989e-04
3.150000000000000e-08	-1.967137e-04
3.150129775502982e-08	2.450947e-04
3.150389326508945e-08	3.293402e-04
3.150908428520871e-08	2.408157e-04
3.151946632544723e-08	2.635186e-04
3.154023040592428e-08	1.923111e-04
3.156959442196717e-08	2.119589e-04
3.160865692196717e-08	1.464302e-04
3.164771942196717e-08	1.663631e-04
3.168678192196717e-08	9.336947e-05
3.172584442196717e-08	1.175163e-04
3.175630695240372e-08	5.984183e-05
3.179082715605690e-08	1.146109e-04
3.182732920322201e-08	3.087210e-05
3.186577844791240e-08	7.932852e-05
3.190484094791240e-08	-2.422926e-06
3.194390344791240e-08	5.148637e-05
3.198296594791240e-08	-1.918093e-05
3.202202844791240e-08	3.900441e-05
3.206109094791239e-08	-2.560454e-05
3.210015344791239e-08	3.334708e-05
3.213921594791239e-08	-2.767282e-05
3.217827844791239e-08	3.052104e-05
3.221734094791239e-08	-2.797927e-05
3.225640344791239e-08	2.886466e-05
3.229546594791239e-08	-2.758906e-05
3.233452844791239e-08	2.769380e-05
3.237359094791239e-08	-2.693459e-05
3.241265344791239e-08	2.673310e-05
3.245171594791239e-08	-2.618823e-05
3.249077844791239e-08	2.587123e-05
3.252984094791239e-08	-2.541959e-05
3.256890344791239e-08	2.506324e-05
3.260796594791239e-08	-2.465615e-05
3.264702844791239e-08	2.429064e-05
