time	V(vout)	Ix(xinv_20_1@0:y_c17530)
2.033542940510444e-08	5.000038e+00	6.303273e-06
2.037449190510444e-08	4.999958e+00	-6.352628e-06
2.041355440510444e-08	5.000037e+00	6.395461e-06
2.045261690510444e-08	4.999960e+00	-6.442559e-06
2.049167940510444e-08	5.000035e+00	6.483396e-06
2.053074190510444e-08	4.999961e+00	-6.528319e-06
2.056980440510444e-08	5.000034e+00	6.567235e-06
2.060886690510444e-08	4.999963e+00	-6.610064e-06
2.064792940510444e-08	5.000032e+00	6.647132e-06
2.068699190510444e-08	4.999965e+00	-6.687942e-06
2.072605440510444e-08	5.000031e+00	6.723231e-06
2.076511690510444e-08	4.999966e+00	-6.762097e-06
2.080417940510444e-08	5.000030e+00	6.795673e-06
2.084324190510444e-08	4.999968e+00	-6.832664e-06
2.088230440510444e-08	5.000029e+00	6.864593e-06
2.092136690510444e-08	4.999969e+00	-6.899777e-06
2.096042940510444e-08	5.000027e+00	6.930117e-06
2.099949190510444e-08	4.999970e+00	-6.963559e-06
2.103855440510444e-08	5.000026e+00	6.992370e-06
2.107761690510444e-08	4.999971e+00	-7.024132e-06
2.110000000000000e-08	5.000024e+00	7.072524e-06
2.110223830948956e-08	5.005970e+00	-8.102843e-05
2.110671492846867e-08	5.018430e+00	-9.477856e-05
2.111566816642690e-08	5.042242e+00	-7.622626e-05
2.113207389642652e-08	5.057767e+00	1.234310e-05
2.115570128507738e-08	4.986214e+00	1.786396e-04
2.118127282247622e-08	4.778771e+00	3.369566e-04
2.120000000000000e-08	4.507326e+00	5.746076e-04
2.120187271775238e-08	4.472033e+00	5.920075e-04
2.120561815325714e-08	4.401853e+00	6.006412e-04
2.121310902426665e-08	4.269526e+00	6.128771e-04
2.122809076628568e-08	4.022466e+00	6.209518e-04
2.125805425032374e-08	3.549659e+00	6.205995e-04
2.129633457334765e-08	2.975390e+00	6.200557e-04
2.133539707334765e-08	2.422997e+00	6.079132e-04
2.137445957334765e-08	1.933662e+00	5.997540e-04
2.141352207334765e-08	1.523121e+00	5.567941e-04
2.144381018343788e-08	1.257360e+00	5.039432e-04
2.147868455161965e-08	9.450568e-01	3.637327e-04
2.151068585300765e-08	6.952330e-01	2.991633e-04
2.154974835300764e-08	4.557248e-01	1.746122e-04
2.158881085300764e-08	2.882585e-01	1.368089e-04
2.162787335300764e-08	1.815738e-01	6.420159e-05
2.166693585300764e-08	1.131835e-01	6.289618e-05
2.170599835300764e-08	7.099564e-02	1.754439e-05
2.174506085300764e-08	4.384065e-02	3.234617e-05
2.178412335300764e-08	2.764884e-02	-7.599215e-07
2.182318585300764e-08	1.682382e-02	1.998447e-05
2.186224835300764e-08	1.082025e-02	-7.580509e-06
2.190131085300764e-08	6.371546e-03	1.486276e-05
2.194037335300764e-08	4.308587e-03	-9.909738e-06
2.197943585300764e-08	2.336403e-03	1.257210e-05
2.201849835300764e-08	1.788179e-03	-1.050743e-05
2.205756085300764e-08	7.817182e-04	1.138914e-05
2.209662335300764e-08	8.112353e-04	-1.044527e-05
2.213568585300764e-08	1.849970e-04	1.064394e-05
2.217474835300764e-08	4.287172e-04	-1.013951e-05
2.221381085300764e-08	-4.170470e-05	1.008014e-05
2.225287335300764e-08	2.779025e-04	-9.750603e-06
2.229193585300764e-08	-1.249797e-04	9.598512e-06
2.233099835300764e-08	2.172926e-04	-9.341457e-06
2.237006085300764e-08	-1.538625e-04	9.157992e-06
2.240912335300764e-08	1.885853e-04	-8.935162e-06
2.244818585300764e-08	-1.622771e-04	8.743067e-06
2.248724835300764e-08	1.739297e-04	-8.538023e-06
2.252631085300764e-08	-1.620426e-04	8.346952e-06
2.256537335300763e-08	1.648878e-04	-8.153008e-06
2.260443585300763e-08	-1.586031e-04	7.966514e-06
2.264349835300763e-08	1.581172e-04	-7.780945e-06
2.268256085300763e-08	-1.540426e-04	7.600246e-06
2.272162335300763e-08	1.523287e-04	-7.421859e-06
2.276068585300763e-08	-1.491583e-04	7.247278e-06
2.279974835300763e-08	1.470233e-04	-7.075472e-06
2.283881085300763e-08	-1.442532e-04	6.906995e-06
