time	V(clk)	V(clkb)	V(ind)	V(outq)
1.934058976390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.937965226390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.941871476390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.945777726390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.949683976390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.953590226390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.957496476390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.961402726390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.965308976390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.969215226390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.973121476390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.977027726390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.980933976390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.984840226390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.988746476390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.992652726390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.996558976390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
2.000000000000000e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
2.000151124849734e-08	7.556242e-02	4.924438e+00	5.000000e+00	4.999693e+00
2.000453374549202e-08	2.266873e-01	4.773313e+00	5.000000e+00	4.999062e+00
2.001057873948137e-08	5.289370e-01	4.471063e+00	5.000000e+00	4.998005e+00
2.002266872746008e-08	1.133436e+00	3.866564e+00	5.000000e+00	4.997560e+00
2.003895260237142e-08	1.947630e+00	3.052370e+00	5.000000e+00	4.998309e+00
2.006301914219470e-08	3.150957e+00	1.849043e+00	5.000000e+00	4.999498e+00
2.009606173271925e-08	4.803087e+00	1.969134e-01	5.000000e+00	5.001868e+00
2.010000000000000e-08	5.000000e+00	0.000000e+00	5.000000e+00	5.002546e+00
2.010039382672808e-08	5.000000e+00	0.000000e+00	4.980309e+00	5.002570e+00
2.010118148018423e-08	5.000000e+00	0.000000e+00	4.940926e+00	5.002573e+00
2.010275678709653e-08	5.000000e+00	0.000000e+00	4.862161e+00	5.002503e+00
2.010590740092113e-08	5.000000e+00	0.000000e+00	4.704630e+00	5.002285e+00
2.011220862857034e-08	5.000000e+00	0.000000e+00	4.389569e+00	5.001602e+00
2.012481108386875e-08	5.000000e+00	0.000000e+00	3.759446e+00	5.000109e+00
2.013660802943434e-08	5.000000e+00	0.000000e+00	3.169599e+00	4.999721e+00
2.015294508313677e-08	5.000000e+00	0.000000e+00	2.352746e+00	5.002531e+00
2.018377602769510e-08	5.000000e+00	0.000000e+00	8.111986e-01	5.020736e+00
2.020000000000001e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.036626e+00
2.020162239723050e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.038424e+00
2.020486719169148e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.042276e+00
2.021135678061344e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.051116e+00
2.022306021868899e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.058618e+00
2.024646709484011e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.014720e+00
2.027711158421911e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.860309e+00
2.031617408421911e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.539371e+00
2.035523658421911e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.040116e+00
2.039429908421911e-08	5.000000e+00	0.000000e+00	0.000000e+00	3.332207e+00
2.043336158421911e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.461198e+00
2.046753907242224e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.640164e+00
2.050250109319490e-08	5.000000e+00	0.000000e+00	0.000000e+00	9.265217e-01
2.053579834657180e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.998192e-01
2.056636698127888e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.917490e-01
2.059936689540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.559080e-01
2.063842939540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	6.981364e-02
2.067749189540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	3.118819e-02
2.071655439540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.462498e-02
2.075561689540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	7.703263e-03
2.079467939540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.439888e-03
2.083374189540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	2.952940e-03
2.087280439540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.971193e-03
2.091186689540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.498942e-03
2.095092939540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	1.027853e-03
2.098999189540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	8.395298e-04
2.102905439540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	5.549649e-04
2.106811689540421e-08	5.000000e+00	0.000000e+00	0.000000e+00	4.880353e-04
